bin   short   long    flux        O2         CO2        H2O       C2H2        C2H4        HCN       NH3       CH3OH     CH3CHO      N2H4       CH3CN      OCS        CH4       C2H6         H2         NO         N2         CO
 74    966    967   1.00E+07   2.00E-18   3.00E-17   1.30E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.30E-18   4.30E-17   2.50E-17   1.00E-19   2.00E-17   1.00E-16   1.00E-18
 75    967    971   4.00E+07   2.00E-18   3.00E-17   1.30E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.30E-18   4.30E-17   2.50E-17   1.00E-19   2.00E-17   1.00E-19   5.00E-17
 76    971    975   1.50E+09   3.00E-18   3.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.30E-18   4.50E-17   2.50E-17   1.00E-17   1.00E-17   2.00E-16   2.00E-16
 77    975    980   5.00E+09   3.00E-18   3.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.30E-18   4.50E-17   2.50E-17   1.00E-21   1.00E-17   1.00E-17   3.00E-17
 78    980    985   6.00E+07   1.00E-18   2.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.30E-18   4.30E-17   2.50E-17   1.00E-17   2.00E-17   1.00E-19   1.00E-19
 79    985    986   2.00E+07   1.00E-18   2.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.30E-18   4.30E-17   2.50E-17   1.00E-17   2.00E-17   5.00E-17   5.00E-17
 80    986    988   4.00E+07   1.00E-18   2.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.30E-18   4.30E-17   2.50E-17   1.00E-18   2.00E-17   1.00E-18   1.00E-18
 81    988    991   4.00E+08   1.00E-18   2.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.30E-18   4.30E-17   0.00E+00   1.00E-18   1.00E-17   1.00E-17   1.00E-17
 82    991    993   3.50E+08   1.00E-18   3.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.50E-18   3.30E-17   3.13E-17   1.00E-16   1.00E-17   1.00E-16   1.00E-17
 83    993   1024   2.50E+08   1.00E-18   4.00E-17   1.00E-17   1.00E-18   6.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.50E-18   3.30E-17   3.13E-17   1.00E-18   5.00E-18   1.00E-19   1.00E-18
 84   1024   1030   3.60E+09   1.00E-18   4.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   5.00E-18   1.00E-17   1.00E-17   1.00E-17   3.00E-18   3.30E-17   4.69E-17   3.00E-17   5.00E-18   0.00E+00   3.00E-19
 85   1030   1035   2.46E+09   1.00E-18   4.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   5.00E-18   1.00E-17   1.00E-17   1.00E-17   3.00E-18   3.30E-17   4.69E-17   3.00E-19   5.00E-18   0.00E+00   2.00E-20
 86   1035   1045   1.83E+09   1.00E-18   3.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   5.00E-18   1.00E-17   1.00E-17   1.00E-17   3.00E-18   2.30E-17   4.69E-17   3.00E-17   5.00E-18   0.00E+00   0.00E+00
 87   1045   1057   1.57E+08   5.00E-19   3.00E-17   5.00E-18   1.00E-18   2.00E-17   2.00E-17   1.00E-17   5.00E-18   5.00E-18   2.00E-17   1.00E-17   7.00E-18   2.10E-17   3.13E-17   1.00E-18   1.00E-18   0.00E+00   0.00E+00
 88   1057   1070   1.70E+08   5.00E-19   2.10E-17   5.00E-18   1.00E-18   2.00E-17   2.00E-17   1.00E-17   5.00E-18   5.00E-18   2.00E-17   1.00E-17   7.00E-18   2.10E-17   3.13E-17   1.00E-18   1.00E-18   0.00E+00   0.00E+00
 89   1070   1080   1.31E+08   5.00E-19   2.10E-17   5.00E-18   1.00E-17   2.00E-17   2.00E-17   1.00E-17   5.00E-18   5.00E-18   2.00E-17   1.00E-17   7.00E-18   2.10E-17   3.13E-17   1.00E-19   1.00E-18   0.00E+00   1.00E-17
 90   1080   1090   7.21E+08   5.00E-19   4.10E-17   6.00E-18   4.00E-17   2.00E-17   2.00E-17   1.00E-17   5.00E-18   5.00E-18   2.00E-17   1.00E-17   7.00E-18   2.10E-17   3.13E-17   1.00E-19   1.00E-18   0.00E+00   0.00E+00
 91   1090   1100   1.31E+08   5.00E-19   2.10E-17   4.00E-18   4.00E-17   2.00E-17   2.00E-17   1.00E-17   5.00E-18   5.00E-18   2.00E-17   1.00E-17   7.00E-18   2.10E-17   3.13E-17   1.00E-20   1.00E-18   0.00E+00   0.00E+00
 92   1100   1110   1.31E+08   5.00E-19   2.00E-17   2.00E-18   4.00E-17   1.00E-17   2.00E-17   1.00E-17   5.00E-18   5.00E-18   2.00E-17   1.00E-17   7.00E-18   1.60E-17   3.13E-17   0.00E+00   1.00E-18   0.00E+00   0.00E+00
 93   1110   1120   1.31E+08   5.00E-19   2.00E-17   5.00E-18   4.00E-17   1.00E-17   2.00E-17   1.00E-17   5.00E-18   5.00E-18   1.50E-17   1.00E-17   7.00E-18   1.60E-17   3.13E-17   0.00E+00   1.00E-18   0.00E+00   0.00E+00
 94   1120   1130   6.21E+08   5.00E-19   6.00E-17   1.00E-17   4.00E-17   1.00E-17   2.00E-17   1.00E-17   5.00E-18   1.00E-17   1.50E-17   1.00E-17   7.00E-18   1.60E-17   3.13E-17   0.00E+00   1.00E-18   0.00E+00   0.00E+00
 95   1130   1140   1.31E+08   5.00E-19   2.00E-17   5.00E-18   4.00E-17   1.00E-17   2.00E-17   1.00E-17   5.00E-18   1.00E-17   1.50E-17   1.00E-17   7.00E-18   1.60E-17   3.13E-17   0.00E+00   1.00E-18   0.00E+00   0.00E+00
 96   1140   1150   1.31E+08   5.00E-19   5.00E-18   2.00E-18   4.00E-17   1.00E-17   2.00E-17   1.00E-17   5.00E-18   1.00E-17   1.50E-17   1.00E-17   7.00E-18   1.60E-17   3.13E-17   0.00E+00   1.00E-18   0.00E+00   0.00E+00
 97   1150   1157   9.15E+07   5.00E-19   1.00E-18   2.00E-18   4.00E-17   1.00E-17   2.00E-17   1.00E-17   5.00E-18   1.00E-17   1.50E-17   2.00E-17   7.00E-18   1.60E-17   3.13E-17   0.00E+00   1.00E-18   0.00E+00   0.00E+00
