bin   short   long     flux       H         H2          O          O2         CO        CO2         C           S          N          N2         NO        CH4        HCN       C2H2      H2O        He
 53    880    885   5.10E+08   5.78E-18   0.00E+00   5.00E-18   1.00E-17   2.50E-17   2.00E-17   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   2.00E-17   0.00E+00   4.00E-17   9.83E-18   0.00E+00
 54    885    890   5.50E+08   5.88E-18   0.00E+00   5.00E-18   1.00E-17   4.00E-17   2.00E-17   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   2.00E-17   0.00E+00   4.00E-17   9.66E-18   0.00E+00
 55    890    895   5.90E+09   5.98E-18   0.00E+00   5.00E-18   1.00E-17   0.00E+00   2.00E-17   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   1.50E-17   0.00E+00   4.00E-17   9.48E-18   0.00E+00
 56    895    900   6.30E+09   6.08E-18   0.00E+00   5.00E-18   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   1.50E-17   0.00E+00   4.00E-17   9.31E-18   0.00E+00
 57    900    905   6.70E+08   6.19E-18   0.00E+00   5.00E-18   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   1.50E-17   0.00E+00   3.00E-17   9.14E-18   0.00E+00
 58    905    911   7.30E+08   6.31E-18   0.00E+00   5.00E-18   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   1.00E-17   0.00E+00   3.00E-17   8.97E-18   0.00E+00
 59    911    915   5.00E+08   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   8.00E-18   0.00E+00   3.00E-17   8.79E-18   0.00E+00
 60    915    920   5.00E+08   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   7.00E-19   0.00E+00   3.00E-17   8.59E-18   0.00E+00
 61    920    923   1.10E+08   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   6.00E-18   0.00E+00   3.00E-17   8.45E-18   0.00E+00
 62    923    927   1.10E+08   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   5.00E-18   0.00E+00   3.00E-17   8.28E-18   0.00E+00
 63    927    930   2.00E+07   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   4.00E-18   0.00E+00   3.00E-17   8.17E-18   0.00E+00
 64    930    933   3.00E+08   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   3.00E-18   0.00E+00   3.00E-17   8.03E-18   0.00E+00
 65    933    938   3.00E+08   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   2.00E-18   0.00E+00   3.00E-17   7.93E-18   0.00E+00
 66    938    942   5.00E+07   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   1.50E-18   0.00E+00   3.00E-17   7.93E-18   0.00E+00
 67    942    948   6.00E+07   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   1.50E-18   0.00E+00   3.00E-17   7.83E-18   0.00E+00
 68    948    951   5.94E+08   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   1.00E-18   0.00E+00   3.00E-17   7.66E-18   0.00E+00
 69    951    954   3.00E+07   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   7.00E-19   0.00E+00   3.00E-17   7.31E-18   0.00E+00
 70    954    956   2.00E+07   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   6.00E-19   0.00E+00   3.00E-17   7.31E-18   0.00E+00
 71    956    958   2.00E+07   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   6.00E-19   0.00E+00   3.00E-17   7.31E-18   0.00E+00
 72    957    961   3.00E+07   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   6.00E-19   0.00E+00   3.00E-17   7.31E-18   0.00E+00
 73    961    966   5.00E+07   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   6.00E-19   0.00E+00   3.00E-17   7.31E-18   0.00E+00
 74    966    967   1.00E+07   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   6.00E-19   0.00E+00   3.00E-17   7.31E-18   0.00E+00
 75    967    971   4.00E+07   0.00E+00   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   5.00E-19   0.00E+00   3.00E-17   7.21E-18   0.00E+00
 76    971    975   1.50E+09   0.00E+00   0.00E+00   0.00E+00   8.00E-18   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   3.00E-19   0.00E+00   3.00E-17   6.86E-18   0.00E+00
 77    975    980   5.00E+09   0.00E+00   0.00E+00   0.00E+00   8.00E-18   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   1.00E-19   0.00E+00   3.00E-17   0.00E+00   0.00E+00
 78    980    985   6.00E+07   0.00E+00   0.00E+00   0.00E+00   8.00E-18   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   3.00E-17   0.00E+00   0.00E+00
 79    985    986   2.00E+07   0.00E+00   0.00E+00   0.00E+00   8.00E-18   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   3.00E-17   0.00E+00   0.00E+00
 80    986    988   4.00E+07   0.00E+00   0.00E+00   0.00E+00   8.00E-18   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   3.00E-17   0.00E+00   0.00E+00
 81    988    991   4.00E+08   0.00E+00   0.00E+00   0.00E+00   3.00E-18   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   3.00E-17   0.00E+00   0.00E+00
